InsiderID, NodeCount, EdgeCount
131075,2,1
131072,2,1
131073,2,1
131081,3,3
98314,3,3
81934,3,3
98320,6,15
131091,3,3
98323,8,28
81941,2,1
114711,2,1
131096,3,3
98335,6,15
81952,7,20
131104,2,1
98345,2,1
98344,5,10
131119,2,1
81966,3,3
98352,2,1
98356,3,3
98358,2,1
131131,2,1
131134,2,1
131139,8,28
131136,2,1
81993,3,3
98376,4,6
131144,2,1
131145,2,1
98381,2,1
98380,9,36
98387,11,55
131159,5,10
131163,2,1
131160,2,1
131161,2,1
131166,2,1
82015,2,1
131165,2,1
131171,2,1
131168,2,1
82018,8,27
131172,3,3
98408,2,1
98411,2,1
131177,3,3
131180,3,3
131181,2,1
131187,2,1
131189,2,1
131194,2,1
98434,2,1
98436,8,28
82056,5,10
82058,14,91
131214,4,6
98445,11,55
131213,4,6
131218,2,1
82064,4,3
131219,2,1
131216,2,1
131217,2,1
114834,2,1
131222,2,1
131223,2,1
98457,3,3
131226,2,1
131227,2,1
98458,2,1
114844,8,28
98467,2,1
131243,5,10
131246,2,1
131244,2,1
131248,2,1
114869,3,3
98488,7,20
98493,2,1
98494,2,1
114881,9,36
131265,2,1
98498,2,1
82131,4,6
131281,2,1
82132,2,1
131285,9,36
82137,7,21
131288,2,1
131289,2,1
82144,2,1
114917,2,1
82149,2,1
131300,3,3
131306,3,3
131307,3,3
82155,2,1
131305,2,1
131309,3,3
98544,2,1
131315,2,1
131312,3,3
131319,4,6
131323,3,3
131320,3,3
82170,4,5
131321,4,6
131325,3,3
131330,2,1
98561,2,1
98560,7,21
131331,16,120
131335,2,1
82183,3,3
131336,2,1
114955,3,3
114957,4,6
82188,10,45
82190,10,45
82192,3,3
131350,4,6
131351,4,6
131348,2,1
82198,2,1
131354,4,6
131355,4,6
131352,4,6
82203,3,3
82205,2,1
82204,2,1
82207,10,45
131357,2,1
98595,4,6
82210,10,45
98601,5,10
131379,2,1
131382,2,1
98614,4,6
82235,9,36
115005,2,1
82237,5,10
131395,2,1
131393,11,55
115010,2,1
131398,11,55
82244,2,1
98631,2,1
82253,4,6
131405,2,1
131408,5,7
82259,6,15
98647,4,6
82263,3,3
131413,2,1
98648,3,3
82264,3,3
115034,4,6
131423,2,1
131421,3,3
131424,2,1
82280,2,1
131432,5,10
131433,11,55
82282,2,1
131439,6,9
98671,10,45
115055,2,1
82286,2,1
115056,13,78
131440,2,1
131444,11,55
131450,3,3
98683,5,8
131448,2,1
131454,2,1
131455,5,10
131452,2,1
131453,5,10
131456,4,6
98691,2,1
82309,2,1
131467,3,3
98699,13,78
131464,2,1
98698,16,120
82321,6,15
131472,2,1
131479,7,20
131477,4,6
131482,11,55
98713,5,10
131483,11,55
131480,5,10
131486,7,19
131487,7,19
98719,2,1
131484,7,19
131491,11,55
131494,7,20
131495,7,20
115113,3,3
131496,2,1
131497,2,1
131500,2,1
131501,5,10
131510,7,19
131509,2,1
131513,2,1
98754,2,1
82370,3,3
82373,2,1
82377,3,3
131531,3,3
131534,3,3
131535,5,10
98767,4,5
82382,4,6
131538,5,10
131539,5,10
131537,5,10
131542,5,10
131543,5,10
131540,5,10
131541,2,1
131546,5,10
131544,5,10
98780,3,3
115164,9,36
131554,2,1
98784,4,6
131559,4,6
82406,3,2
131562,2,1
131563,2,1
115179,5,7
131567,2,1
131570,6,15
131571,3,3
131568,4,6
98802,4,6
131569,4,6
131574,3,3
131575,6,15
131573,6,15
98809,3,3
131576,6,15
131583,9,36
131586,9,36
131587,9,36
131585,4,6
115205,5,10
131590,9,36
98823,2,1
131589,9,36
82443,2,1
82447,3,3
131600,2,1
82450,2,1
131606,2,1
98839,8,28
131609,4,6
131614,3,3
131620,3,3
131626,2,1
131624,3,3
82476,2,1
131628,2,1
98866,2,1
131639,2,1
131642,10,45
131643,10,45
131640,10,45
131641,10,45
131646,10,45
131647,10,45
131644,10,45
131645,11,55
131648,10,45
98882,16,120
131654,5,10
98886,15,105
131653,5,10
131659,5,10
131656,5,10
98891,5,9
131662,4,6
131663,7,12
131666,5,10
131667,5,10
131664,5,10
131665,3,3
131671,2,1
131674,7,21
131675,7,21
115291,16,120
131673,7,21
131679,2,1
131676,7,21
131677,7,21
131682,5,10
131684,3,3
98918,2,1
131685,5,10
82536,2,1
131691,6,11
82539,3,3
131689,4,6
115309,5,10
131702,2,1
131701,2,1
82554,2,1
131712,2,1
131713,2,1
131726,2,1
82575,26,325
131724,2,1
115344,2,1
131728,3,3
98962,11,55
131736,9,36
131742,4,6
115356,2,1
115359,7,21
131740,3,3
131741,3,3
131746,4,6
131744,4,6
131745,4,6
131750,4,6
131754,2,1
115369,5,8
131752,3,3
131753,2,1
131758,3,3
131759,3,3
131756,4,6
98991,5,10
131757,3,3
131761,2,1
99015,3,3
82633,2,1
115400,2,1
82632,3,3
115406,2,1
131798,2,1
131803,3,3
131801,6,15
82650,7,20
131807,9,36
99036,5,10
131810,9,36
99040,4,6
131811,9,36
131809,9,36
131813,9,36
115433,4,6
131818,3,3
115435,4,6
115436,4,6
82672,5,10
115443,2,1
131825,2,1
131830,3,3
131831,3,3
131834,3,3
82682,3,3
99070,4,6
131843,9,36
131844,9,36
82694,3,3
115467,2,1
115466,2,1
115469,2,1
99084,5,10
131852,2,1
131858,3,3
