InsiderID, NodeCount, EdgeCount
131072,2,1
100354,9,36
131073,2,1
120840,5,9
75787,10,43
83981,15,105
120849,9,36
120848,9,36
110608,5,10
120851,9,36
120853,9,36
120852,9,36
118809,5,9
122904,2,1
139288,3,3
118812,4,6
118815,5,9
81950,4,4
71713,8,20
120864,7,15
124965,2,1
124967,6,15
118826,5,9
116785,2,1
110643,7,19
118837,8,28
118836,3,3
133172,6,15
120888,6,15
120892,6,15
118849,2,1
135238,4,6
118852,2,1
127044,2,1
88135,16,114
120915,5,10
73820,2,1
135267,5,10
125027,2,1
120931,6,14
120930,5,10
77925,7,21
98408,2,1
118895,8,28
118894,8,28
120945,2,1
118896,8,28
131185,2,1
84085,2,1
120951,2,1
120950,2,1
75898,9,36
116858,11,49
120961,8,28
100483,2,1
100484,2,1
120973,3,3
129173,15,103
129172,15,103
129176,2,1
88222,2,1
123045,2,1
129189,5,10
137381,3,3
129194,7,17
106666,4,6
90284,3,3
121010,5,10
121012,5,10
121015,5,10
110774,13,62
121017,4,5
98488,7,21
96443,2,1
135356,3,3
121026,5,10
118998,2,1
82137,7,21
73951,11,48
121057,5,8
129251,6,15
127202,15,103
137446,2,1
94439,6,15
73958,16,114
129256,7,17
88301,4,6
137455,2,1
88300,4,6
129263,5,10
129262,7,17
92403,4,6
82170,3,3
135417,2,1
88323,6,14
116997,2,1
125189,2,1
112902,7,19
84239,3,3
123150,3,3
123153,3,3
90385,8,28
123152,3,3
69907,7,20
82203,3,3
112924,55,1430
121121,10,41
112928,53,1347
117027,12,54
117028,3,3
117032,2,1
117035,16,94
112938,53,1347
117034,2,1
112941,55,1430
127277,6,15
117037,14,88
127276,6,15
117036,13,78
112943,53,1347
127278,6,15
117041,9,33
117040,9,33
86324,12,66
117047,9,36
135482,5,10
119097,5,10
117048,9,36
82235,8,28
117051,9,36
117050,9,36
119101,3,3
117053,9,36
117052,9,36
137535,3,3
74046,7,19
112958,55,1430
112960,55,1430
112963,55,1430
137536,3,3
112965,55,1430
112964,55,1430
123207,3,3
112966,55,1430
112969,53,1347
117065,2,1
135498,3,3
135499,3,3
112971,55,1430
117067,2,1
112970,55,1430
135497,3,3
112973,55,1430
121165,2,1
139598,2,1
121164,2,1
112975,55,1430
82255,2,1
112974,55,1430
78161,2,1
110928,2,1
117072,16,115
112979,2,1
112981,55,1430
112980,55,1430
112983,55,1430
82263,3,3
139605,2,1
104793,9,36
112985,55,1430
117081,8,28
112984,53,1347
82264,3,3
129371,2,1
117083,9,33
112986,55,1430
117082,9,33
112989,55,1430
117085,14,88
112988,55,1430
117084,16,97
112991,55,1430
117087,14,88
112990,55,1430
117086,14,88
112993,46,1033
117089,14,88
129376,2,1
112992,55,1430
112995,55,1430
112994,53,1347
117090,14,88
112997,55,1430
112996,55,1430
117095,5,10
100710,3,3
112998,55,1430
113001,55,1430
117096,5,10
113003,55,1430
113002,55,1430
117101,4,6
113005,55,1430
113004,55,1430
110956,5,10
117103,8,28
96625,4,6
125297,2,1
104822,3,3
127354,14,85
117117,3,3
117119,4,4
117118,4,6
117121,4,6
117120,4,6
117123,2,1
98691,7,18
117122,4,6
135553,2,1
131463,2,1
104841,14,75
117129,2,1
117128,5,7
127381,2,1
94613,2,1
127380,2,1
127384,2,1
117147,2,1
113050,3,2
94618,2,1
135580,2,1
117151,2,1
129441,9,36
129444,9,36
133540,4,6
133541,4,6
117163,12,54
117162,10,41
117165,12,54
117164,10,41
117167,7,21
88494,6,15
113073,2,1
117171,14,88
117170,11,55
117173,14,88
121271,7,21
117174,15,95
121270,7,21
121273,7,21
139705,2,1
121274,7,21
117182,7,19
92609,3,3
92608,3,3
92610,4,6
76228,2,1
102855,13,62
123334,8,28
117194,3,3
137678,2,1
117196,7,19
137677,2,1
117203,10,45
117202,7,19
117205,10,45
113111,2,1
117206,10,45
115161,3,3
94685,16,115
115164,3,3
139741,2,1
117218,10,45
137703,2,1
100839,9,36
117223,10,45
82406,7,19
117225,10,45
90600,3,3
115179,4,6
86506,2,1
117226,10,45
129519,8,25
86512,2,1
111090,13,77
86514,2,1
94717,11,49
117253,4,6
117254,4,6
125455,2,1
117263,2,1
117262,2,1
100883,16,115
117269,15,95
117271,15,95
117273,14,88
117272,7,21
119322,4,6
117274,15,95
70175,3,3
117279,7,21
117278,7,21
72225,3,3
70176,3,3
135719,3,3
80423,2,1
117287,20,190
117288,20,190
117291,20,190
96811,7,18
125482,2,1
117290,20,190
119341,5,10
86573,6,15
117293,20,190
119340,4,6
125484,2,1
117295,20,190
119342,5,10
117294,20,190
117297,20,190
129585,4,6
129584,4,6
117296,20,190
117299,3,3
135728,3,3
129586,4,6
117300,3,3
129588,4,6
123448,2,1
131645,2,1
117313,2,1
70208,2,1
125507,8,28
125508,8,28
117319,20,190
117318,13,75
117320,9,36
117323,10,43
117324,16,84
107091,7,21
117333,14,80
117332,13,75
117335,13,75
117334,14,80
113241,6,15
117337,12,66
117336,12,66
117339,13,75
117338,13,75
70237,2,1
117340,12,66
107103,6,15
117342,14,80
119390,4,6
117347,6,14
117349,20,190
117351,5,10
117350,6,14
121446,2,1
117352,7,15
121448,2,1
117354,2,1
94826,3,3
117357,6,14
117359,20,190
117358,20,190
100977,2,1
117361,20,190
117360,20,190
117362,20,190
117367,20,190
135802,2,1
135803,2,1
98938,9,36
96897,6,15
127619,3,3
86659,7,20
90756,2,1
84614,2,1
117387,2,1
129674,5,6
86669,3,3
94861,2,1
117388,2,1
117391,3,3
117390,3,2
133778,4,6
131728,3,3
98962,6,15
117399,3,3
117401,6,15
117400,6,15
117402,6,15
117405,6,15
133790,6,15
117404,6,15
119452,5,8
117406,3,3
117415,3,3
119463,2,1
117417,7,21
103080,14,80
121516,2,1
92844,6,12
117427,2,1
92853,2,1
117436,5,10
80579,16,114
117451,2,1
117453,5,10
117452,2,1
117454,5,10
88784,2,1
105176,3,3
131803,3,3
82650,11,49
99036,4,6
72417,3,3
137959,2,1
117481,12,66
133867,2,1
135917,4,6
80625,11,48
88816,9,36
119536,4,6
131834,5,10
133887,2,1
103167,6,9
117507,16,115
117508,16,115
123655,16,114
117515,15,105
109322,14,75
117514,15,105
117519,16,115
119566,2,1
117518,16,115
117520,15,105
119573,2,1
94996,3,3
119575,2,1
117529,13,77
117532,13,77
109343,13,78
92966,10,45
92970,4,6
123697,16,114
127795,3,3
138033,2,1
125753,2,1
135994,2,1
138043,2,1
131896,3,3
138047,2,1
129854,2,1
84805,2,1
119620,2,1
117577,5,9
117578,5,9
84810,2,1
119637,8,19
72535,3,3
105305,6,15
117593,13,77
119641,4,6
99163,2,1
119645,2,1
117597,13,77
115549,2,1
117596,13,77
115548,2,1
133980,7,21
117599,13,77
117598,13,77
117601,13,77
105313,4,6
117600,13,77
107365,7,21
117605,13,77
105318,8,28
121709,2,1
95087,2,1
136054,5,10
127863,2,1
127862,2,1
127865,4,6
74620,10,45
127874,2,1
72583,3,2
129929,2,1
70538,8,25
119694,2,1
109454,7,21
72592,2,1
127899,6,15
117659,2,1
93082,3,3
127898,6,15
117661,3,3
93085,7,20
127901,6,15
117660,3,3
127900,6,15
117663,2,1
115614,2,1
