InsiderID, NodeCount, EdgeCount
73729,7,15
81920,2,1
106499,9,36
106498,9,36
106501,9,36
106502,9,36
106505,9,36
106507,9,36
106506,9,36
73741,3,3
114703,2,1
73743,3,3
106510,7,21
114705,2,1
81937,9,36
106513,7,21
106512,6,13
106515,7,21
114707,2,1
106514,7,21
114706,2,1
81941,9,36
114709,2,1
106517,7,21
106516,7,21
98327,8,28
114710,2,1
98328,2,1
106523,2,1
90139,2,1
98330,8,28
98333,2,1
98335,8,28
73758,3,3
98336,8,28
98339,8,28
98338,8,28
98341,8,28
73765,2,1
114731,2,1
90157,2,1
73775,2,1
114734,4,3
98367,2,1
114751,4,6
98366,3,3
114750,4,6
114752,4,6
98371,2,1
114755,2,1
114754,2,1
81989,2,1
106564,6,15
81993,2,1
81995,4,6
90187,2,1
81994,2,1
106573,2,1
81996,4,6
73804,2,1
106574,2,1
98385,2,1
73809,2,1
98389,2,1
73814,2,1
73819,2,1
73820,2,1
98401,4,6
106595,2,1
106597,2,1
106596,2,1
106598,2,1
73830,4,3
73832,2,1
73834,2,1
82029,2,1
90221,4,6
82028,2,1
90224,2,1
98419,2,1
90226,2,1
98418,2,1
98420,4,6
114804,3,2
98423,3,3
98426,2,1
106620,2,1
98431,2,1
82046,11,55
82049,11,55
82048,2,1
82050,3,2
98434,2,1
98437,2,1
73863,3,3
114823,2,1
114822,2,1
114825,2,1
82056,4,6
82058,4,6
82061,2,1
82065,4,6
90257,2,1
98462,6,15
82081,2,1
98475,2,1
98476,2,1
82095,2,1
106670,3,3
114862,2,1
106673,3,3
82097,4,6
106672,3,3
82098,12,66
114873,2,1
114872,2,1
90299,2,1
114874,2,1
98493,6,15
114877,2,1
90300,2,1
114876,2,1
114879,2,1
98494,6,15
82112,2,1
73923,3,3
98498,6,15
73924,3,3
82118,3,3
90310,2,1
98505,6,15
73929,3,3
106699,6,15
114893,4,6
106701,6,15
106700,6,15
114895,4,6
106702,6,15
114897,4,6
106707,6,15
106709,6,15
73940,2,1
82132,2,1
106708,2,1
98519,2,1
106710,6,15
106713,6,15
98521,2,1
106712,6,15
82136,2,1
73947,2,1
106714,2,1
82140,2,1
106716,3,3
82144,2,1
82147,2,1
114915,5,10
106722,6,15
114917,5,10
82149,2,1
114916,5,10
82152,3,3
82158,2,1
73971,7,21
106739,2,1
82179,2,1
82178,2,1
114955,3,3
106763,3,3
90381,2,1
98573,4,6
114956,3,3
82188,13,78
82190,13,78
82192,2,1
90389,4,6
74007,2,1
90390,4,6
82205,13,78
98589,4,6
82204,13,78
98588,4,6
82207,13,78
74015,2,1
98590,4,6
90398,3,3
90403,8,28
82210,13,78
90404,3,3
114985,17,136
82216,3,3
114984,17,136
90411,8,28
114987,2,1
90410,8,28
114986,17,136
74029,2,1
90413,8,28
90412,8,28
114988,17,136
90415,8,28
74030,2,1
90414,8,28
90417,4,6
90416,8,28
114992,2,1
90419,2,1
114995,17,136
82226,3,3
