InsiderID, NodeCount, EdgeCount
73728,2,1
98307,2,1
90114,2,1
81927,2,1
81929,3,2
90120,2,1
98312,2,1
106512,5,10
98333,2,1
90144,5,10
73767,4,4
90162,4,6
98354,2,1
90164,2,1
98356,2,1
73784,2,1
114747,2,1
73788,2,1
114751,4,6
114750,4,6
114752,4,6
73794,2,1
81989,2,1
73801,5,10
90187,3,3
73804,5,10
73815,11,47
73819,2,1
73820,2,1
98401,6,14
106595,2,1
106597,2,1
106596,2,1
114788,2,1
73831,3,3
106598,2,1
73830,2,1
98408,3,3
73832,4,4
73835,2,1
73834,3,3
90218,2,1
98410,2,1
82028,2,1
98419,2,1
73842,3,3
98418,2,1
73845,9,15
98423,4,6
98427,4,6
82043,13,61
106620,2,1
82044,9,36
98434,2,1
98437,2,1
73865,7,21
114825,2,1
82058,5,10
90257,2,1
82068,2,1
82071,3,3
82070,2,1
98461,2,1
73884,6,14
82081,2,1
73893,3,3
73892,4,6
82095,2,1
82101,2,1
90295,4,4
73910,5,7
90294,2,1
73913,4,4
82107,4,6
106683,2,1
90299,2,1
90300,2,1
82108,4,5
82111,7,18
90302,2,1
82112,4,6
73920,4,6
82117,4,6
82119,3,3
90311,5,10
90310,2,1
73926,3,2
73932,2,1
82127,2,1
73937,10,41
98519,3,2
98518,2,1
98521,9,36
82136,2,1
82138,2,1
73948,3,2
82140,2,1
98526,2,1
73959,8,20
73961,9,23
73962,5,10
90348,3,3
73964,9,23
73971,7,21
98547,5,10
82164,7,13
114935,3,3
106744,2,1
73979,2,1
73981,6,15
73984,5,7
98562,2,1
73991,2,1
73993,2,1
90379,9,36
90381,2,1
82191,3,3
82192,4,6
82197,3,3
74015,2,1
90398,2,1
74018,4,6
82213,5,7
90404,3,3
74025,8,28
82217,3,3
106795,4,5
82218,4,5
74028,5,6
82225,7,21
90427,5,7
106813,2,1
82236,4,6
74047,2,1
82243,5,10
98626,5,10
90436,2,1
74058,2,1
90445,2,1
98636,2,1
90447,6,15
82255,2,1
90453,7,19
90455,7,19
90456,6,15
90461,3,3
90463,3,3
98661,6,15
90473,6,15
90472,7,19
106856,2,1
74091,2,1
90475,4,6
82283,3,3
74090,2,1
90474,2,1
106861,2,1
90476,4,6
74092,6,8
82284,7,21
90480,2,1
98677,4,6
98676,2,1
106871,2,1
82297,3,3
106883,2,1
82309,2,1
74116,2,1
98692,6,15
106888,2,1
82315,3,3
90509,4,6
82316,2,1
98703,2,1
82320,3,3
115093,3,3
90519,5,10
74135,3,3
82331,3,3
82330,4,5
90524,2,1
74145,9,27
82336,3,3
115109,2,1
74148,3,3
82340,4,6
98735,3,3
106933,2,1
98743,5,8
90554,3,3
82366,3,3
74176,3,2
90560,4,4
82375,3,2
74182,2,1
115145,2,1
90576,2,1
74197,3,3
74199,4,6
90593,2,1
82407,3,3
98794,4,6
74221,2,1
90605,3,3
82414,2,1
90612,4,4
115195,2,1
115194,2,1
74234,3,3
82429,3,3
98812,3,2
82428,2,1
74241,3,2
74257,2,1
82448,2,1
74258,9,30
98839,2,1
107030,3,2
74264,13,60
74276,2,1
90663,2,1
82477,2,1
90671,2,1
82481,5,10
98865,2,1
90672,2,1
74290,5,8
74293,4,6
90676,4,6
74295,2,1
90681,4,6
74297,2,1
82489,2,1
74301,7,13
74303,3,3
74302,7,15
74304,2,1
82499,3,3
74307,2,1
74310,4,6
90697,2,1
74314,8,24
74317,3,2
107084,3,2
90702,2,1
107086,2,1
90707,2,1
90712,2,1
90717,3,3
74332,4,5
74335,2,1
90720,3,3
115301,2,1
74340,11,41
98920,2,1
90731,6,15
98923,8,24
90732,6,15
82547,2,1
74354,3,3
90741,3,3
90743,3,3
90742,3,3
90745,3,3
82556,4,6
82558,4,6
82561,4,6
74369,2,1
74370,2,1
107140,3,3
74372,2,1
82577,6,15
74385,2,1
115347,3,3
82578,2,1
90774,3,3
107163,3,3
82588,3,2
90780,2,1
107167,4,5
82592,3,2
74403,2,1
98981,6,12
90789,2,1
82597,2,1
82596,2,1
90791,2,1
98984,5,10
90792,2,1
74413,2,1
115374,2,1
98993,5,10
98992,11,48
98994,5,10
90805,2,1
82619,3,3
74426,2,1
74430,3,2
74433,4,6
99012,2,1
99014,3,2
90826,2,1
82637,4,6
82639,4,6
115406,2,1
82638,4,6
82641,2,1
82640,4,6
115411,3,3
82642,2,1
115413,3,3
99031,2,1
90839,2,1
82646,2,1
99035,2,1
90847,3,3
82654,4,6
99041,6,15
107233,2,1
99040,2,1
115424,2,1
107234,3,2
99045,3,3
99047,3,2
107240,2,1
90859,5,8
82668,2,1
90860,2,1
74480,5,10
90867,7,21
90866,3,2
82680,2,1
115453,2,1
74495,3,3
74494,2,1
115454,2,1
99074,2,1
99077,2,1
74502,5,9
99085,2,1
99084,5,10
82702,2,1
90894,8,26
82704,2,1
90900,13,61
90905,4,4
74529,3,3
90914,2,1
90916,3,3
74545,2,1
74544,2,1
90935,2,1
90940,6,14
74556,17,70
82750,2,1
74558,2,1
99141,2,1
74567,2,1
74569,2,1
82765,3,2
74573,2,1
107343,6,9
74574,2,1
107342,6,15
90961,3,3
74576,4,6
74579,4,6
74581,3,3
74580,2,1
107353,7,21
82779,2,1
74589,3,3
99165,2,1
74590,4,6
115553,2,1
115552,2,1
82784,4,4
82787,3,3
74594,4,3
99173,2,1
82795,3,3
74614,2,1
115576,2,1
82811,2,1
99195,4,6
82815,3,3
74622,2,1
82818,3,3
74632,2,1
82827,3,3
99212,2,1
82830,2,1
74643,6,9
74645,3,3
107414,8,16
74646,6,9
74648,2,1
99224,4,5
99233,6,8
107427,2,1
99235,7,21
74658,2,1
82853,2,1
91047,3,3
74662,3,3
91051,5,9
82858,3,3
74668,10,33
74671,10,33
74670,2,1
99246,3,3
74673,6,15
99249,13,60
99250,13,60
74677,2,1
91063,4,6
99254,2,1
82872,2,1
91064,5,9
99259,2,1
91066,3,3
82879,2,1
74695,2,1
82886,6,15
74694,2,1
74697,2,1
99272,4,5
99277,6,15
74700,2,1
99276,2,1
82898,8,26
74710,2,1
91097,6,14
82906,2,1
99290,2,1
91101,4,6
91102,4,6
82913,6,15
99296,4,3
91107,4,6
91109,4,6
99300,2,1
82919,7,16
82921,6,15
107497,4,4
107496,2,1
99307,10,45
82922,6,15
74733,3,2
82924,6,15
74732,10,33
82927,6,15
82928,2,1
74739,4,6
82930,5,9
82934,2,1
82937,2,1
99321,5,9
82938,2,1
74749,2,1
91132,2,1
82942,8,27
91137,4,6
82947,2,1
99331,2,1
91143,2,1
74761,2,1
91147,9,11
82954,5,8
82958,6,15
82961,2,1
82960,3,2
99344,2,1
99347,2,1
99348,2,1
115735,2,1
99358,2,1
82977,2,1
107557,4,6
107558,4,6
82995,2,1
91188,2,1
99384,3,2
83000,3,3
91192,4,6
99386,2,1
83002,4,6
83004,4,6
83007,2,1
83008,4,6
91203,11,48
91215,2,1
99408,2,1
74834,3,3
83031,2,1
91224,2,1
115805,2,1
83036,4,6
107612,4,6
83039,2,1
83038,4,4
74846,3,2
115806,2,1
99425,2,1
74850,2,1
74853,2,1
74857,4,5
99434,6,15
91244,4,6
91250,2,1
83061,9,36
83063,2,1
99448,6,11
83066,2,1
83072,4,6
91264,8,24
74882,2,1
83074,2,1
107653,4,3
107657,2,1
74891,2,1
74890,2,1
74893,2,1
74894,5,7
107665,2,1
83093,4,6
99491,2,1
74917,2,1
74916,5,10
74927,5,10
83119,4,3
83118,4,6
91315,2,1
83126,2,1
83128,3,2
91323,2,1
83133,4,4
74941,2,1
74945,5,10
115905,2,1
74947,7,16
74948,5,10
107716,3,2
83143,3,2
83145,4,6
83147,3,2
74955,2,1
74958,2,1
83153,7,21
74961,2,1
83152,8,25
99536,3,3
83154,9,26
83157,3,3
107735,3,3
74966,3,2
83158,2,1
83161,5,10
83160,2,1
74971,7,21
74970,2,1
107741,3,3
74972,6,11
83164,2,1
74975,2,1
107742,3,3
74974,2,1
99553,3,3
99565,3,3
83187,2,1
107767,3,2
83190,2,1
75001,3,3
75005,8,24
99580,5,7
75004,2,1
99583,3,2
75008,13,55
75020,3,3
91408,2,1
75036,3,3
83230,5,8
75038,3,3
75040,3,3
107808,4,5
107811,3,3
75042,8,28
75052,5,10
75054,2,1
83258,6,15
75069,2,1
99646,4,4
75074,4,5
83273,4,6
91464,2,1
75080,4,6
83281,2,1
75095,8,21
75097,8,21
91483,3,3
